,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,quoteType,symbol,messageBoardId,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,lastDividendDate,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,impliedSharesOutstanding,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,toCurrency,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,trailingPE,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,address2,fax
0,95014,Technology,147000,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.31955,0.25004,0.41005,104414003200.0,0.364,0.28788,110934999040.0,125.0,buy,104956000000,80625876992.0,160.0,148.89,1.0,1.062,0.19302,39,159.34,210.782,1.27125,185,61696000000,135491002368,347155005440,3.732,USD,20.61,0.887,2.0,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,False,-14400000,EQUITY,AAPL,finmb_24937,us_market,,7.158,,22.399,0.2682376,,5.34,,16530199552,,,,3.882,93114834,0.0056,,1601078400,0.58808,86801997824,5.108,0.22,0.31688225,38.353943,0.00068999996,1664150400,,1624665600,1.03,1625011200,16513139929,1.202797,2484884996096,2,,1598832000.0,4:1,,1620345600,,0.932,7.089575,1627603200,1.53,,27.88202,,0.0056,90213531,,,,145.86,146.19,132.2351,0.005724667,0.16309999,,149.05,,56356737,145.86,143.62286,0.835,146.19,,56356737,,,0.88,1628208000.0,,,145.84,USD,29.148396,72231008,,,,2461181411328,,,78442796,145.84,148.89,1400,72231008,150.0,,1.29,103.1,148.96,False,0.006,3100,149.05,148.89,https://logo.clearbit.com/apple.com,,
1,10285,Financial Services,63700,"American Express Company, together with its subsidiaries, provides charge and credit payment card products, and travel-related services worldwide. The company operates through three segments: Global Consumer Services Group, Global Commercial Services, and Global Merchant and Network Services. Its products and services include payment and financing products; network services; accounts payable expense management products and services; and travel and lifestyle services. The company's products and services also comprise merchant acquisition and processing, servicing and settlement, point-of-sale marketing, and information products and services for merchants; and fraud prevention services, as well as the design and operation of customer loyalty programs. It sells its products and services to consumers, small businesses, mid-sized companies, and large corporations through mobile and online applications, third-party vendors and business partners, direct mail, telephone, in-house sales teams, and direct response advertising. American Express Company was founded in 1850 and is headquartered in New York, New York.",New York,212 640 2000,NY,United States,[],http://www.americanexpress.com,1,200 Vesey Street,Credit Services,0.0,0.18424,0.72283,11144999936.0,0.773,0.2281,,120.0,buy,22086000000,,170.0,168.52,8.655,1.578,0.03741,26,164.22,153.976,0.30154,225,29109999616,39324000256,38136000512,36.642,USD,47.492,1.559,2.5,NYQ,American Express Company,American Express Company,America/New_York,EDT,False,-14400000,EQUITY,AXP,finmb_92001,us_market,,3.823,,,0.69956183,,9.19,,794433024,,,,32.004,14867745,0.0187,,1609372800,0.87453,6920000000,8.6,0.43,0.31688225,5.2655916,0.0010899999,1672444800,,1625011200,3.64,1625011200,641719206,1.280796,145799888896,2,,1128297600.0,10000:8753,,1625097600,,7.872,3.5105374,1627603200,0.99,,18.337324,,0.0232,6461680,,,,170.67,170.02,152.1231,0.010077928,0.2,,170.11,,3154862,170.67,169.70229,1.72,170.02,,3154862,,,1.72,1625097600.0,,,167.97,USD,19.595348,3294741,,,,133877858304,,,3472573,167.97,168.27,800,3294741,179.67,,1.45,89.11,168.43,False,0.0101,1300,170.11,168.52,https://logo.clearbit.com/americanexpress.com,,
2,60606-1596,Industrials,141000,"The Boeing Company, together with its subsidiaries, designs, develops, manufactures, sales, services, and supports commercial jetliners, military aircraft, satellites, missile defense, human space flight and launch systems, and services worldwide. The company operates through four segments: Commercial Airplanes; Defense, Space & Security; Global Services; and Boeing Capital. The Commercial Airplanes segment provides commercial jet aircraft for passenger and cargo requirements, as well as fleet support services. The Defense, Space & Security segment engages in the research, development, production, and modification of manned and unmanned military aircraft and weapons systems; strategic defense and intelligence systems, which include strategic missile and defense systems, command, control, communications, computers, intelligence, surveillance and reconnaissance, cyber and information solutions, and intelligence systems; and satellite systems, such as government and commercial satellites, and space exploration. The Global Services segment offers products and services, including supply chain and logistics management, engineering, maintenance and modifications, upgrades and conversions, spare parts, pilot and maintenance training systems and services, technical and maintenance documents, and data analytics and digital services to commercial and defense customers. The Boeing Capital segment offers financing services and manages financing exposure for a portfolio of equipment under operating and finance leases, notes and other receivables, assets held for sale or re-lease, and investments. The company was founded in 1916 and is based in Chicago, Illinois.",Chicago,312 544 2000,IL,United States,[],http://www.boeing.com,1,100 North Riverside Plaza,Aerospace & Defense,-0.029089998,-0.14303,0.03996,-12698000384.0,0.44,-0.06526,-1794000000.0,200.0,buy,-1690000000,-9533124608.0,270.0,238.18,,1.35,-0.01613,23,267.52,,,314,21341999104,63559000064,61658001408,36.41,USD,106.463,0.375,2.5,NYQ,Boeing Company (The),The Boeing Company,America/New_York,EDT,False,-14400000,EQUITY,BA,finmb_370857,us_market,,2.965,,-101.89,0.37062895,,5.46,,586152000,,,,-28.474,9388445,0.016,,1609372800,0.54438996,-8819000320,-15.232,2.055,0.31688225,,0.00098,1672444800,,1625011200,0.73,1625011200,535654917,1.620763,182791520256,2,,865814400.0,2:1,,1581552000,,,2.264259,1627603200,-14.01,,43.622707,,0.016,9405032,,,,239.49,240.0,233.79985,0.0,0.0,,241.13,,8501162,239.49,231.04771,0.0,240.0,,8501162,,,,1581552000.0,,,236.51,USD,,6705567,,,,139609686016,,,11933040,236.51,238.65,1100,6705567,278.57,,,141.58,238.25,False,,1100,241.13,238.18,https://logo.clearbit.com/boeing.com,,
3,60015,Industrials,97300,"Caterpillar Inc. manufactures and sells construction and mining equipment, diesel and natural gas engines, industrial gas turbines, and diesel-electric locomotives worldwide. Its Construction Industries segment offers asphalt pavers, compactors, cold planers, motorgraders, pipelayers, road reclaimers, telehandlers, and utility vehicles; backhoe, compact track, multi-terrain, skid steer, and track-type loaders; forestry and wheel excavators; and site prep and track-type tractors. The company's Resource Industries segment provides electric rope and hydraulic shovels, draglines, rotary drills, hard rock vehicles, track-type tractors, mining trucks, longwall miners, wheel loaders, off-highway and articulated trucks, wheel tractor scrapers, wheel dozers, landfill and soil compactors, machinery components, autonomous ready vehicles and solutions, and select work tools. Its Energy & Transportation segment offers reciprocating engine powered generator sets; reciprocating engines and integrated systems for the power generation, marine, oil, and gas industries; turbines, centrifugal gas compressors, and related services; remanufactured reciprocating engines and components; and diesel-electric locomotives and components, and other rail-related products. The company's Financial Products segment provides operating and finance leases, installment sale contracts, working capital loans, and wholesale financing; and insurance and risk management, as well as other equipment-related loans. Its All Other Operating segment offers filters and fluids, undercarriage, ground engaging tools, fluid transfer products, precision seals, and rubber sealing and connecting components; parts distribution; integrated logistics solutions; portfolio management; brand management and marketing strategy; and digital investments services. The company was formerly known as Caterpillar Tractor Co. The company was founded in 1925 and is headquartered in Deerfield, Illinois.",Deerfield,224-551-4000,IL,United States,[],http://www.caterpillar.com,1,510 Lake Cook Road,Farm & Heavy Construction Machinery,0.1894,0.09568,0.26196,7852000256.0,0.289,0.13955,8691999744.0,125.0,hold,10127000000,4487499776.0,245.0,220.24,2.048,1.561,0.050580002,21,238.76,222.707,0.28679,303,10028000256,37593001984,45892001792,18.317,USD,84.144,1.019,2.6,NYQ,"Caterpillar, Inc.",Caterpillar Inc.,America/New_York,EDT,False,-14400000,EQUITY,CAT,finmb_259378,us_market,,3.246,,17.138,0.5757446,,12.03,,547470976,,,,30.747,6850312,0.0125,,1609372800,0.7104,4391000064,7.967,1.11,0.31688225,7.1629753,0.00187,1672444800,,1625011200,2.11,1625011200,546245131,0.889725,148964524032,2,,1121299200.0,2:1,,1626652800,,2.085,2.6273644,1627603200,1.16,,18.307566,,0.0125,6558726,,,,221.66,222.24,220.20087,0.018947937,0.5176,,223.75,,3823450,221.66,212.16856,4.2,222.24,,3823450,,,4.44,1626652800.0,,,218.5,USD,27.644032,4285089,,,,120575008768,,,3685818,218.5,219.62,900,4285089,246.69,,2.64,135.65,219.42,False,0.02,1000,223.75,220.24,https://logo.clearbit.com/caterpillar.com,Suite 100,
4,95134,Technology,77500,"Cisco Systems, Inc. designs, manufactures, and sells Internet Protocol based networking and other products related to the communications and information technology industry in the Americas, Europe, the Middle East, Africa, the Asia Pacific, Japan, and China. It provides infrastructure platforms, including networking technologies of switching, routing, wireless, and data center products that are designed to work together to deliver networking capabilities, and transport and/or store data. The company also offers collaboration products comprising unified communications, Cisco TelePresence, and conferencing, as well as the Internet of Things and analytics software. In addition, it provides security products, such as network security, cloud and email security, identity and access management, advanced threat protection, and unified threat management products; and cloud and system management products. Further, the company offers a range of service and support options for its customers, including technical support and advanced services. It serves businesses of various sizes, public institutions, governments, and service providers. The company sells its products and services directly, as well as through systems integrators, service providers, other resellers, and distributors. Cisco Systems, Inc. has strategic alliances with Internet2 to deliver next-generation capabilities and software solutions; and Tele2 Iot on connectivity management platform 2CONTROL. Cisco Systems, Inc. was founded in 1984 and is headquartered in San Jose, California.",San Jose,408 526 4000,CA,United States,[],http://www.cisco.com,1,170 West Tasman Drive,Communication Equipment,0.31235,0.20919001,0.63944,14752000000.0,0.068,0.27736,15256999936.0,46.0,buy,31683000000,10973124608.0,56.0,56.39,0.044,1.527,0.091400005,24,56.08,31.185,0.2692,65,23579000832,12538000384,48846000128,5.595,USD,11.562,1.357,2.3,NMS,"Cisco Systems, Inc.","Cisco Systems, Inc.",America/New_York,EDT,False,-14400000,EQUITY,CSCO,finmb_19691,us_market,,4.572,,14.637,0.3075843,,3.4,,4214200064,,,,9.539,34082943,0.0081,,1595635200,0.75468004,10218000384,2.419,0.37,0.31688225,5.9115214,0.00059,1658707200,,1619827200,2.29,1625011200,4210917561,0.894566,223310921728,2,,953769600.0,2:1,,1625184000,,0.032,4.8650603,1627603200,2.82,,16.585293,,0.0081,30609996,,,,55.86,55.85,51.279064,0.025957752,0.5992,,56.45,,12801550,55.86,54.21743,1.45,55.85,,12801550,,,1.48,1625184000.0,,,55.66,USD,23.311287,10917319,,,,237638746112,,,17169167,55.66,56.39,800,10917319,56.45,,3.0,35.28,56.39,False,0.026600001,1200,56.45,56.39,https://logo.clearbit.com/cisco.com,,408 853 3683
5,94583-2324,Energy,47736,"Chevron Corporation, through its subsidiaries, engages in integrated energy, chemicals, and petroleum operations worldwide. The company operates in two segments, Upstream and Downstream. The Upstream segment is involved in the exploration, development, and production of crude oil and natural gas; processing, liquefaction, transportation, and regasification associated with liquefied natural gas; transportation of crude oil through pipelines; and transportation, storage, and marketing of natural gas, as well as operates a gas-to-liquids plant. The Downstream segment engages in refining crude oil into petroleum products; marketing crude oil, refined products, and lubricants; transporting crude oil and refined products through pipeline, marine vessel, motor equipment, and rail car; and manufacturing and marketing commodity petrochemicals, and fuel and lubricant additives, as well as alkylate and plastics for industrial uses. It is also involved in the cash management and debt financing activities; insurance operations; real estate activities; and technology businesses. The company was formerly known as ChevronTexaco Corporation and changed its name to Chevron Corporation in 2005. Chevron Corporation was founded in 1879 and is headquartered in San Ramon, California.",San Ramon,925 842 1000,CA,United States,[],http://www.chevron.com,1,6001 Bollinger Canyon Road,Oil & Gas Integrated,0.18845,0.03091,0.43954,16924999680.0,1.268,0.05757,21866000384.0,100.0,buy,43983000000,10826749952.0,122.78,102.64,,1.171,0.01791,28,122.79,32.124,0.02704,152,7560999936,43017998336,116033003520,3.91,USD,61.111,0.823,2.3,NYQ,Chevron Corporation,Chevron Corporation,America/New_York,EDT,False,-14400000,EQUITY,CVX,finmb_98506,us_market,,2.026,,10.751,0.14506793,,7.11,,1933910016,,,,68.867,15495484,0.008,,1609372800,0.68544996,3587000064,1.884,1.34,0.31688225,1.4904091,0.00035,1672444800,,1625011200,1.6,1625011200,1909061176,1.310381,235088838656,2,,1095033600.0,2:1,,1621296000,,,1.7106901,1627603200,-3.52,,14.436006,,0.008,14341043,,,,102.85,102.86,102.66741,0.050656296,2.7861,,103.25,,8535487,102.85,102.262,5.21,102.86,,8535487,,,5.36,1629244800.0,,,101.78,USD,54.47983,5922185,,,,198496518144,,,9870173,101.78,102.53,1300,5922185,113.11,,4.41,65.16,102.49,False,0.0521,1200,103.25,102.64,https://logo.clearbit.com/chevron.com,,
6,91521,Communication Services,170000,"The Walt Disney Company, together with its subsidiaries, operates as an entertainment company worldwide. The company's Media Networks segment operates domestic cable networks under the Disney, ESPN, Freeform, FX, and National Geographic brands; and television broadcast network under the ABC brand, as well as eight domestic television stations. This segment is also involved in the television production and distribution. Its Parks, Experiences and Products segment operates theme parks and resorts, such as Walt Disney World Resort in Florida; Disneyland Resort in California; Disneyland Paris; Hong Kong Disneyland Resort; and Shanghai Disney Resort; Disney Cruise Line, Disney Vacation Club, National Geographic Expeditions, and Adventures by Disney and Aulani, a Disney resort and spa in Hawaii, as well as licenses its intellectual property to a third party for the operations of the Tokyo Disney Resort in Japan. The company's Studio Entertainment segment produces and distributes motion pictures under the Walt Disney Pictures, Twentieth Century Studios, Marvel, Lucasfilm, Pixar, Searchlight Pictures, and Blue Sky Studios banners; develops, produces, and licenses live entertainment events; produces and distributes music; and provides post-production services through Industrial Light & Magic and Skywalker Sound. Its Direct-To-Consumer & International segment operates international television networks and channels comprising Disney, ESPN, Fox, National Geographic, and Star; direct-to-consumer videos streaming services consisting of Disney+/Disney+Hotstar, ESPN+, and Hulu; and operates branded apps and Websites, such as Disney Movie Club and Disney Digital Network, as well as provides streaming technology support services. The company was founded in 1923 and is based in Burbank, California.",Burbank,818-560-1000,CA,United States,[],http://www.thewaltdisneycompany.com,1,500 South Buena Vista Street,Entertainment,0.111379996,-0.07735,0.30647,4298999808.0,-0.134,0.02086,6498999808.0,147.0,buy,21508000000,3945750016.0,212.5,179.29,0.942,1.234,0.00374,26,206.97,56.601,-0.03924,230,15889999872,56146001920,58347999232,8.746,USD,32.201,1.067,1.9,NYQ,Walt Disney Company (The),The Walt Disney Company,America/New_York,EDT,False,-14400000,EQUITY,DIS,finmb_191564,us_market,,6.47,,58.084,0.35988092,,5.0,,1816930048,,,,47.078,20458218,0.0113,,1601683200,0.67157996,-4487000064,-2.491,0.88,0.31688225,3.8083606,0.00124,1664755200,,1617408000,2.39,1625011200,1814987941,1.200645,377489424384,2,,1181692800.0,10000:9865,,1576195200,,0.959,5.5830083,1627603200,1.49,,35.857998,,0.0113,21896322,,,,178.09,178.09,181.74886,0.004941322,0.0,,179.72,,6461387,178.09,177.14056,0.88,178.09,,6461387,,,,1576195200.0,,,176.45,USD,,7604856,,,,325757370368,,,8716060,176.45,179.75,3100,7604856,203.02,,,117.23,179.12,False,,800,179.72,179.29,https://logo.clearbit.com/thewaltdisneycompany.com,,
7,10282,Financial Services,40800,"The Goldman Sachs Group, Inc., a financial institution, provides range of financial services for corporations, financial institutions, governments, and individuals worldwide. It operates through four segments: Investment Banking, Global Markets, Asset Management, and Consumer & Wealth Management. The company's Investment Banking segment provides financial advisory services, including strategic advisory assignments related to mergers and acquisitions, divestitures, corporate defense activities, restructurings, and spin-offs; and middle-market lending, relationship lending, and acquisition financing, as well as transaction banking services. This segment also offers underwriting services, such as equity underwriting for common and preferred stock and convertible and exchangeable securities; and debt underwriting for various types of debt instruments, including investment-grade and high-yield debt, bank and bridge loans, and emerging- and growth-market debt, as well as originates structured securities. Its Global Markets segment is involved in client execution activities for cash and derivative instruments; credit and interest rate products; and provision of equity intermediation and equity financing, clearing, settlement, and custody services, as well as mortgages, currencies, commodities, and equities related products. The company's Asset Management segment manages assets across various asset classes, including equity, fixed income, hedge funds, credit funds, private equity, real estate, currencies, and commodities; and provides customized investment advisory solutions, as well as invests in corporate, real estate, and infrastructure entities. Its Consumer & Wealth Management segment offers wealth advisory and banking services, including financial planning, investment management, deposit taking, and lending; private banking; and unsecured loans, as well as accepts saving and time deposits. The company was founded in 1869 and is headquartered in New York, New York.",New York,212-902-1000,NY,United States,[],http://www.goldmansachs.com,1,200 West Street,Capital Markets,0.0,0.36582002,0.89303,66233999360.0,0.323,0.46367002,,330.0,buy,35974000000,,411.3,415.0,27.339,1.657,0.01597,25,406.49,549.779,0.20758,493,891985985536,569136971776,55204999168,2771.225,USD,155.595,1.557,2.2,NYQ,"Goldman Sachs Group, Inc. (The)","The Goldman Sachs Group, Inc.",America/New_York,EDT,False,-14400000,EQUITY,GS,finmb_398625,us_market,,-3.239,,,0.9861318,,36.37,,337096992,,,,287.8,4053848,0.012,,1609372800,0.74406,19629000704,54.464,1.25,0.31688225,1.4419737,0.00538,1672444800,,1625011200,1.59,1625011200,320219835,1.487358,-178794463232,2,,,,,1622160000,,13.708,2.5341048,1627603200,0.4,,11.410503,,0.0121,4125931,,,,413.89,414.38,348.22748,0.012080504,0.091400005,,418.59,,2505962,413.89,376.09485,5.0,414.38,,2505962,,,8.0,1630368000.0,,,410.58,USD,7.619712,2271794,,,,139895259136,,,2635995,410.58,414.95,1800,2271794,418.59,,1.61,185.52,414.0,False,0.019299999,1200,418.59,415.0,https://logo.clearbit.com/goldmansachs.com,29th Floor,
8,30339,Consumer Cyclical,500000,"The Home Depot, Inc. operates as a home improvement retailer. It operates The Home Depot stores that sell various building materials, home improvement products, building materials, lawn and garden products, and d̩cor products, as well as provide installation, home maintenance, and professional service programs to do-it-yourself and professional customers. The company also offers installation programs that include flooring, cabinets and cabinet makeovers, countertops, furnaces and central air systems, and windows; and professional installation in various categories sold through its stores and in-home sales programs, as well as acts as a general contractor to provide installation services to its do-it-for-me customers through third-party installers. In addition, it provides tool and equipment rental services. The company primarily serves homeowners; and professional renovators/remodelers, general contractors, handymen, property managers, building service contractors, and specialty tradesmen, such as electricians, plumbers, and painters. It also sells its products online. As of August 10, 2021, the company operated 2,298 Home Depot retail stores in all 50 states, the District of Columbia, Puerto Rico, U.S. Virgin Islands, Guam, 10 Canadian provinces, and Mexico. The Home Depot, Inc. was incorporated in 1978 and is based in Atlanta, Georgia.",Atlanta,770 433 8211,GA,United States,[],http://www.homedepot.com,1,2455 Paces Ferry Road,Home Improvement Retail,0.17658001,0.10446,0.33937,19412000768.0,0.327,0.15808,24960000000.0,262.0,buy,44853000000,15749374976.0,350.0,334.02,0.856,1.105,0.21271999,31,345.46,2399.485,,391,6648000000,41942999040,141349994496,6.252,USD,131.672,0.37,2.1,NYQ,"Home Depot, Inc. (The)","The Home Depot, Inc.",America/New_York,EDT,False,-14400000,EQUITY,HD,finmb_278679,us_market,,2.785,,15.77,0.19647801,,14.92,,1063260032,,,,1.641,12007585,0.0113,,1612051200,0.72056,14766000128,13.718,1.65,0.31688225,203.5466,0.00064000004,1675123200,,1619913600,4.13,1625011200,1061674179,1.030123,393613082624,2,,946598400.0,3:2,,1622592000,,0.846,2.5125582,1627603200,2.15,,22.387398,,0.0113,10414582,,,,337.0,337.35,305.69388,0.018694362,0.4483,,338.1299,,2283525,337.0,323.93542,6.3,337.35,,2283525,,,6.6,1622592000.0,,,332.28,USD,24.34903,1946712,,,,355150102528,,,3499646,332.28,333.78,1400,1946712,345.69,,2.14,246.59,333.7,False,0.0196,1300,338.1299,334.02,https://logo.clearbit.com/homedepot.com,,
9,10504,Technology,345900,"International Business Machines Corporation provides integrated solutions and services worldwide. Its Cloud & Cognitive Software segment offers software for vertical and domain-specific solutions in various application areas; and customer information control system and storage, and analytics and integration software solutions to support client mission on-premise workloads in banking, airline, and retail industries. It also offers middleware and data platform software, including Red Hat that enables the operation of clients' hybrid multi-cloud environments; and Cloud Paks, WebSphere distributed, and analytics platform software, such as DB2 distributed, information integration, and enterprise content management, as well as IoT, Blockchain and AI/Watson platforms. The company's Global Business Services segment offers business consulting services; system integration, application management, maintenance, and support services for packaged software; and finance, procurement, talent and engagement, and industry-specific business process outsourcing services. Its Global Technology Services segment provides IT infrastructure and platform services; and project, managed, outsourcing, and cloud-delivered services for enterprise IT infrastructure environments; and IT infrastructure support services. The company's Systems segment offers servers for businesses, cloud service providers, and scientific computing organizations; data storage products and solutions; and z/OS, an enterprise operating system, as well as Linux. Its Global Financing segment provides lease, installment payment, loan financing, short-term working capital financing, and remanufacturing and remarketing services. The company has a collaboration alliance with GK Software SE to enhance retail innovation and customer omnichannel experience with hybrid cloud technology. The company was formerly known as Computing-Tabulating-Recording Co. The company was incorporated in 1911 and is headquartered in Armonk, New York.",Armonk,914 499 1900,NY,United States,[],http://www.ibm.com,1,One New Orchard Road,Information Technology Services,0.21494,0.07169,0.48683,17684000768.0,0.034,0.12443,15992000512.0,115.0,hold,35575000000,13636625408.0,150.0,143.07,-0.032,0.84,0.03845,17,144.12,270.943,0.24530001,175,7950000128,59789000704,74400997376,8.87,USD,83.3,0.664,2.7,NYQ,International Business Machines,International Business Machines Corporation,America/New_York,EDT,False,-14400000,EQUITY,IBM,finmb_112350,us_market,,2.411,,11.215,0.13676715,,12.05,,896320000,,,,24.48,25615018,0.0286,,1609372800,0.57507,5244000256,5.917,1.64,0.31688225,5.844363,0.00131,1672444800,,1625011200,4.95,1625011200,894751513,1.216245,179357974528,2,,927763200.0,2:1,,1628467200,,-0.026,1.723586,1627603200,0.78,,11.87303,,0.0286,24370511,,,,142.13,142.26,136.39172,0.045943853,1.122,,143.15,,3860975,142.13,142.10571,6.53,142.26,,3860975,,,6.56,1628467200.0,,,142.1,USD,24.179485,2073547,,,,128236511232,,,4348262,142.1,142.99,800,2073547,152.84,,4.43,105.92,142.5,False,0.0462,1200,143.15,143.07,https://logo.clearbit.com/ibm.com,,
