,symbol,sector,industry
0,AAPL,Technology,Consumer Electronics
1,AXP,Financial Services,Credit Services
2,BA,Industrials,Aerospace & Defense
3,CAT,Industrials,Farm & Heavy Construction Machinery
4,CSCO,Technology,Communication Equipment
5,CVX,Energy,Oil & Gas Integrated
6,DIS,Communication Services,Entertainment
7,GS,Financial Services,Capital Markets
8,HD,Consumer Cyclical,Home Improvement Retail
9,IBM,Technology,Information Technology Services
10,INTC,Technology,Semiconductors
11,JNJ,Healthcare,Drug Manufacturers—General
12,JPM,Financial Services,Banks—Diversified
13,KO,Consumer Defensive,Beverages—Non-Alcoholic
14,MCD,Consumer Cyclical,Restaurants
15,MMM,Industrials,Specialty Industrial Machinery
16,MRK,Healthcare,Drug Manufacturers—General
17,MSFT,Technology,Software—Infrastructure
18,NKE,Consumer Cyclical,Footwear & Accessories
19,PFE,Healthcare,Drug Manufacturers—General
20,PG,Consumer Defensive,Household & Personal Products
21,TRV,Financial Services,Insurance—Property & Casualty
22,UNH,Healthcare,Healthcare Plans
23,V,Financial Services,Credit Services
24,VZ,Communication Services,Telecom Services
25,WBA,Healthcare,Pharmaceutical Retailers
26,WMT,Consumer Defensive,Discount Stores
27,XOM,Energy,Oil & Gas Integrated
