symbol,sector,industry
ALUA,Basic Materials,Aluminum
BBAR,Financial Services,Banks—Regional
BMA,Financial Services,Banks—Regional
BYMA,Financial Services,Capital Markets
CEPU,Utilities,Utilities—Regulated Electric
COME,Industrials,Conglomerates
CRES,Industrials,Conglomerates
CVH,Communication Services,Telecom Services
EDN,Utilities,Utilities—Regulated Electric
GGAL,Financial Services,Banks—Regional
HARG,Basic Materials,Building Materials
LOMA,Basic Materials,Building Materials
MIRG,Consumer Cyclical,Auto Parts
PAMP,Utilities,Utilities—Regulated Electric
SUPV,Financial Services,Banks—Regional
TECO2,Communication Services,Telecom Services
TGNO4,Energy,Oil & Gas Midstream
TGSU2,Energy,Oil & Gas Integrated
TRAN,Utilities,Utilities—Regulated Electric
TXAR,Basic Materials,Steel
VALO,Financial Services,Financial Data & Stock Exchanges
YPFD,Energy,Oil & Gas Integrated
