,zip,sector,fullTimeEmployees,longBusinessSummary,city,phone,state,country,companyOfficers,website,maxAge,address1,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,targetLowPrice,recommendationKey,grossProfits,freeCashflow,targetMedianPrice,currentPrice,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,targetMeanPrice,debtToEquity,returnOnEquity,targetHighPrice,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,recommendationMean,exchange,shortName,longName,exchangeTimezoneName,exchangeTimezoneShortName,isEsgPopulated,gmtOffSetMilliseconds,underlyingSymbol,quoteType,symbol,underlyingExchangeSymbol,headSymbol,messageBoardId,uuid,market,annualHoldingsTurnover,enterpriseToRevenue,beta3Year,enterpriseToEbitda,52WeekChange,morningStarRiskRating,forwardEps,revenueQuarterlyGrowth,sharesOutstanding,fundInceptionDate,annualReportExpenseRatio,totalAssets,bookValue,sharesShort,sharesPercentSharesOut,fundFamily,lastFiscalYearEnd,heldPercentInstitutions,netIncomeToCommon,trailingEps,lastDividendValue,SandP52WeekChange,priceToBook,heldPercentInsiders,nextFiscalYearEnd,yield,mostRecentQuarter,shortRatio,sharesShortPreviousMonthDate,floatShares,beta,enterpriseValue,priceHint,threeYearAverageReturn,lastSplitDate,lastSplitFactor,legalType,morningStarOverallRating,earningsQuarterlyGrowth,priceToSalesTrailing12Months,dateShortInterest,pegRatio,ytdReturn,forwardPE,lastCapGain,shortPercentOfFloat,sharesShortPriorMonth,category,fiveYearAverageReturn,previousClose,regularMarketOpen,twoHundredDayAverage,trailingAnnualDividendYield,payoutRatio,volume24Hr,regularMarketDayHigh,navPrice,averageDailyVolume10Day,regularMarketPreviousClose,fiftyDayAverage,trailingAnnualDividendRate,open,averageVolume10days,expireDate,algorithm,dividendRate,exDividendDate,circulatingSupply,startDate,regularMarketDayLow,currency,regularMarketVolume,lastMarket,maxSupply,openInterest,marketCap,volumeAllCurrencies,strikePrice,averageVolume,dayLow,ask,askSize,volume,fiftyTwoWeekHigh,fromCurrency,fiveYearAvgDividendYield,fiftyTwoWeekLow,bid,tradeable,dividendYield,bidSize,dayHigh,regularMarketPrice,logo_url,trailingPE,address2,fax
0,76155,Industrials,113200.0,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas.",Fort Worth,817 963 1234,TX,United States,[],http://www.aa.com,1,1 Skyview Drive,Airlines,-0.83889,-0.61528,-0.65012,-6200999936.0,-0.529,-1.0127,-10762999808.0,5.0,hold,-5536000000.0,-8850750464.0,20.0,20.43,,1.044,-0.12765001,17.0,18.91,,,29.0,14039000064.0,48023998464.0,12830000128.0,21.889,USD,23.932,0.866,3.4,NMS,"American Airlines Group, Inc.",American Airlines Group Inc.,America/New_York,EDT,True,-14400000,,EQUITY,AAL,,,finmb_168569,b73d98bf-8d5e-382f-9d49-b84d8f52f152,us_market,,3.759,,-4.481,,,-0.07,,641382976.0,,,,-12.387,83756250.0,0.1306,,1609372800.0,0.52209,-7894000128.0,-14.725,,,,0.00984,1672444800.0,,1617148800.0,2.52,1619740800.0,636290541.0,1.850543,48223707136.0,2,,1386547200.0,0:1,,,,1.0213137,1622160000.0,0.06,,-291.85715,,0.1467,90791904.0,,,21.23,21.0288,21.474493,0.0,0.0,,21.105,,32714985,21.23,20.935429,0.0,21.0288,32714985,,,,1580774400.0,,,20.305,USD,30044690,,,,13103454208.0,,,31676673,20.305,20.44,3100,30044690,26.09,,,10.63,20.4,False,,4000,21.105,20.43,https://logo.clearbit.com/aa.com,,,
1,95014,Technology,147000.0,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California.",Cupertino,408-996-1010,CA,United States,[],http://www.apple.com,1,One Apple Park Way,Consumer Electronics,0.31955,0.25004,0.41005,104414003200.0,0.364,0.28788,110934999040.0,125.0,buy,104956000000.0,80625876992.0,160.0,148.89,1.0,1.062,0.19302,39.0,159.46,210.782,1.27125,185.0,61696000000.0,135491002368.0,347155005440.0,3.732,USD,20.61,0.887,2.0,NMS,Apple Inc.,Apple Inc.,America/New_York,EDT,True,-14400000,,EQUITY,AAPL,,,finmb_24937,8b10e4ae-9eeb-3684-921a-9ab27e4d87aa,us_market,,7.171,,22.441,,,5.35,,16687599616.0,,,,4.146,96355309.0,0.0058,,1601078400.0,0.59054,86801997824.0,4.449,,,35.911724,0.00068999996,1664150400.0,,1624665600.0,1.14,1623715200.0,16513139929.0,1.202797,2489513410560.0,2,,1598832000.0,4:1,,,0.932,7.157082,1626307200.0,1.45,,27.829906,,0.0058,108937943.0,,,145.86,146.19,132.13638,0.005621829,0.16309999,,149.05,,57475842,145.86,143.28343,0.82,146.19,57475842,,,0.88,1628208000.0,,,145.84,USD,72231008,,,,2484616822784.0,,,79655606,145.84,148.99,3100,72231008,150.0,,1.29,103.1,148.98,False,0.006,4000,149.05,148.89,https://logo.clearbit.com/apple.com,33.46595,,
2,30326,Financial Services,209.0,"Atlantic Capital Bancshares, Inc. operates as the bank holding company for Atlantic Capital Bank, N.A. that provides banking products and services. The company offers non-interest and interest bearing demand, savings and money market, time, and brokered deposits. It also provides working capital and equipment loans, loans supported by owner-occupied real estate, revolving lines of credit, term loans, and letters of credit; secured installments and home equity lines of credit; and commercial real estate loans, including secured construction loans, secured mini-permanent loans, and secured or unsecured lines of credit, as well as small business administration and franchise finance loans. In addition, the company offers cash and treasury management, capital market, payment processing, commercial and not-for-profit banking, payroll, electronic payment, and online and mobile banking services. It serves small and medium sized businesses and commercial enterprises, franchisees, not for profit enterprises, commercial real estate developers and individual clients, and professional services businesses. The company primarily operates 5 additional locations located in Cobb County, Fulton County, and Athens-Clarke County, Georgia; and Hamilton County, Tennessee. Atlantic Capital Bancshares, Inc. was incorporated in 2006 and is headquartered in Atlanta, Georgia.",Atlanta,404 995 6050,GA,United States,[],http://www.atlanticcapitalbank.com,1,Resurgens Plaza,Banks—Regional,0.0,0.35217997,0.0,101755000.0,1.05,0.43668997,,30.0,buy,79812000.0,,31.5,25.1,5.637,,0.01047,4.0,31.25,,0.100430004,32.0,652492992.0,95166000.0,95910000.0,32.09,USD,4.564,,1.8,NMS,"Atlantic Capital Bancshares, In","Atlantic Capital Bancshares, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,ACBI,,,finmb_37501994,3e82f1fe-4ec0-3264-94c9-2943b3794661,us_market,,-0.413,,,,,1.95,,20354100.0,,,,16.72,288236.0,0.014199999,,1609372800.0,0.86791,33778000.0,1.595,,,1.5011963,0.03956,1672444800.0,,1617148800.0,5.2,1620950400.0,19472717.0,0.919565,-39648668.0,2,,,,,,5.291,5.3267426,1623715200.0,0.72,,12.871795,,0.0174,261865.0,,,25.4,25.39,24.355616,,0.0,,25.39,,178785,25.4,24.793428,,25.39,178785,,,,,,,25.06,USD,59623,,,,510887904.0,,,121187,25.06,25.12,1000,59623,28.93,,,10.48,25.06,False,,800,25.39,25.1,https://logo.clearbit.com/atlanticcapitalbank.com,15.736677,Suite 1600 945 East Paces Ferry Road NE,
3,95110-2704,Technology,22516.0,"Adobe Inc. operates as a diversified software company worldwide. Its Digital Media segment provides tools and solutions that enable individuals, teams, and enterprises to create, publish, promote, and monetize their digital content. Its flagship product is Creative Cloud, a subscription service that allows customer to download and access the latest versions of its creative products. This segment serves content creators, experience designers, app developers, enthusiasts, students, social media users, and creative professionals; and marketing departments and agencies, companies, and publishers. The company's Digital Experience segment offers products, services, and solutions for creating, managing, executing, measuring, monetizing, and optimizing customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, marketing executives, information management and technology executives, product development executives, and sales and support executives. Its Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as publishing needs of technical and business, and original equipment manufacturers (OEMs) printing businesses. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and OEMs. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. The company was founded in 1982 and is headquartered in San Jose, California.",San Jose,408 536 6000,CA,United States,[],http://www.adobe.com,1,345 Park Avenue,Software—Infrastructure,0.39815,0.38794,0.87865996,6977999872.0,0.226,0.3575,5728999936.0,550.0,buy,11146000000.0,5399374848.0,625.0,634.35,0.022,1.315,0.13627,24.0,618.99,33.88,0.45138,700.0,5768000000.0,4693000192.0,14389000192.0,12.067,USD,30.04,1.179,1.7,NMS,Adobe Inc.,Adobe Inc.,America/New_York,EDT,True,-14400000,,EQUITY,ADBE,,,finmb_24321,bccf427f-30a1-3360-9ce4-c77a8198c902,us_market,,19.051,,47.849,,,14.03,,478000000.0,,,,28.979,5077207.0,0.0106,,1606435200.0,0.85155,5582000128.0,11.538,,,21.889988,0.0030899998,1669507200.0,,1622764800.0,2.6,1619740800.0,476527760.0,0.947826,274128715776.0,2,,1116892800.0,2:1,,,0.015,21.072992,1622160000.0,2.28,,45.213825,,0.0106,5424898.0,,,626.03,626.0,518.48376,,0.0,,636.64,,1255057,626.03,607.0386,,626.0,1255057,,,,1111622400.0,,,624.09,USD,1146455,,,,303219277824.0,,,1926267,624.09,634.19,900,1146455,636.64,,,420.78,634.32,False,,900,636.64,634.35,https://logo.clearbit.com/adobe.com,54.979195,,408 537 6000
4,02062,Technology,15900.0,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company offers data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure. It also provides power management and reference products for power management and conversion applications in the automotive, communications, industrial, and high-end consumer markets; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes to sense rotation, and inertial measurement units to sense multiple degrees of freedom, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. The company serves clients in the industrial, automotive, consumer, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was founded in 1965 and is headquartered in Wilmington, Massachusetts.",Norwood,781 329 4700,MA,United States,[],http://www.analog.com,1,One Technology Way,Semiconductors,0.44584998,0.25162,0.67357004,2394100992.0,0.261,0.31635,2765271040.0,165.0,buy,3690478000.0,2004955520.0,185.0,168.58,0.583,1.045,0.05712,21.0,184.95,43.422,0.13137999,200.0,1305216000.0,5283246080.0,6202295808.0,3.539,USD,16.807,0.763,1.7,NMS,"Analog Devices, Inc.","Analog Devices, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,ADI,,,finmb_251411,d98d9168-137c-3f9c-afb4-adc56ba055f1,us_market,,10.611,,23.801,,,6.96,,368827008.0,,,,32.989,40755491.0,0.1105,,1604102400.0,0.99167997,1560615040.0,4.19,,,5.1101885,0.00322,1667174400.0,,1619827200.0,12.05,1620950400.0,367495453.0,1.250543,65815552000.0,2,,953164800.0,2:1,,,0.58,10.024814,1623715200.0,1.81,,24.221264,,0.1108,37904731.0,,,170.46,169.5,158.99783,0.015370173,0.6086,,169.71,,3921628,170.46,166.62886,2.62,169.5,3921628,,,2.76,1622073600.0,,,166.56,USD,2562061,,,,62176858112.0,,,3169615,166.56,175.59,900,2562061,175.25,,2.04,110.66,168.6,False,0.0165,800,169.71,168.58,https://logo.clearbit.com/analog.com,40.23389,PO Box 9106,
5,07068,Industrials,58000.0,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates through two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Roseland,973-974-5000,NJ,United States,[],http://www.adp.com,1,One ADP Boulevard,Staffing & Employment Services,0.26038,0.16878,0.44673002,3217100032.0,0.013,0.22562,3813400064.0,163.0,hold,6511600000.0,3110174976.0,198.2,214.9,0.0,1.048,0.04223,19.0,196.8,43.226,0.44280997,220.0,1902000000.0,2452600064.0,14645199872.0,4.47,USD,34.24,0.105,2.9,NMS,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,ADP,,,finmb_126269,a771a5a3-7055-3bcd-81f6-9ccb77ac9a9b,us_market,,5.809,,22.307,,,6.54,,425518016.0,,,,13.319,5086019.0,0.012,,1593475200.0,0.81655,2471899904.0,5.755,,,16.134844,0.0010800001,1656547200.0,,1617148800.0,3.27,1620950400.0,424765153.0,0.724456,85067046912.0,2,,1412121600.0,1139:1000,,,-0.012,6.243945,1623715200.0,3.57,,32.859325,,0.012,4811911.0,,,216.25,216.68,190.56152,0.017017342,0.6389,,216.68,,1536614,216.25,204.69142,3.68,216.68,1536614,,,3.72,1623283200.0,,,214.6038,USD,1449223,,,,91443822592.0,,,1490646,214.6038,214.93,1100,1449223,217.15,,2.06,127.31,214.79,False,0.0187,1000,216.68,214.9,https://logo.clearbit.com/adp.com,37.341442,,
6,94903,Technology,11500.0,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and Shotgun, a cloud-based software for review and production tracking in the media and entertainment industry. In addition, the company offers PlanGrid, a cloud-based field collaboration software, which provides general contractors, subcontractors, owners, and architects access to construction information in real-time; Revit software for building information modeling; and BuildingConnected, a bid-management solution. Autodesk, Inc. sells its products and services to customers directly, as well as through a network of resellers and distributors. The company was founded in 1982 and is headquartered in San Rafael, California.",San Rafael,415 507 5000,CA,United States,[],http://www.autodesk.com,1,111 McInnis Parkway,Software—Application,0.19391,0.33315,0.91947,1446000000.0,0.117,0.17001,755100032.0,265.0,buy,3484900000.0,1336724992.0,340.0,332.05,1.333,0.481,0.06444,17.0,333.24,185.324,2.62266,370.0,923200000.0,2091200000.0,3894000128.0,4.196,USD,17.74,0.399,1.9,NMS,"Autodesk, Inc.","Autodesk, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,ADSK,,,finmb_119902,6806dff3-3571-369c-b858-2ab23bccc502,us_market,,16.327,,84.2,,,6.87,,220012992.0,,,,5.129,2161154.0,0.0098,,1612051200.0,0.91800004,1297299968.0,5.836,,,64.73971,0.00191,1675123200.0,,1619740800.0,2.06,1619740800.0,219672294.0,1.331521,63579176960.0,2,,1103587200.0,2:1,,,1.34,18.760994,1622160000.0,1.51,,48.333332,,0.0098,1763534.0,,,328.64,327.4,288.86594,,0.0,,332.415,,1019514,328.64,304.64056,,327.4,1019514,,,,1111449600.0,,,325.58,USD,824081,,,,73055313920.0,,,1119129,325.58,331.92,900,824081,335.67,,,215.83,332.26,False,,800,332.415,332.05,https://logo.clearbit.com/autodesk.com,56.896847,,415 507 5100
7,85281,Healthcare,18975.0,"Align Technology, Inc., a medical device company, designs, manufactures, and markets Invisalign clear aligners and iTero intraoral scanners and services for orthodontists and general practitioner dentists, and restorative and aesthetic dentistry. It operates in two segments, Clear Aligner; and Scanners and Services. The Clear Aligner segment consists of comprehensive products, including Invisalign comprehensive treatment that addresses the orthodontic needs of teenage patients, such as mandibular advancement, compliance indicators, and compensation for tooth eruption; and Invisalign First Phase I and Invisalign First Comprehensive Phase 2 package for younger patients generally between the ages of seven and ten years, which is a mixture of primary/baby and permanent teeth. This segment's non-comprehensive products comprise Invisalign moderate, lite and express packages, and Invisalign go; and non-case products include retention products, Invisalign training fees, and sales of ancillary products, such as cleaning material, and adjusting tools used by dental professionals during the course of treatment. The Scanners and Services segment offers iTero scanner, a single hardware platform with software options for restorative or orthodontic procedures; restorative software for general practitioner dentists, prosthodontists, periodontists, and oral surgeons; and software for orthodontists for digital records storage, orthodontic diagnosis, and for the fabrication of printed models and retainers. This segment also provides computer-aided design and computer-aided manufacturing services; ancillary products, such as disposable sleeves for the wand; iTero model and dies; third party scanners and digital scans; Invisalign outcome simulator, a chair-side and cloud-based application for the iTero scanner; Invisalign progress assessment tool; and TimeLapse technology, which allows doctors or practitioners to compare a patient's historic 3D scans to the present-day scan. The company sells its products in the United States, Switzerland, China, and internationally. Align Technology, Inc. was incorporated in 1997 and is headquartered in Tempe, Arizona.",Tempe,408 470 1000,AZ,United States,[],http://www.aligntech.com,1,410 North Scottsdale Road,Medical Devices,0.22770001,0.1627,0.72662,879577024.0,0.624,0.19274001,641134016.0,450.0,buy,1763235000.0,671940864.0,735.0,704.27,-0.869,1.518,0.07509,13.0,702.77,2.515,0.14668,770.0,1131698048.0,85358000.0,2815749120.0,14.301,USD,35.705,1.328,2.0,NMS,"Align Technology, Inc.","Align Technology, Inc.",America/New_York,EDT,False,-14400000,,EQUITY,ALGN,,,finmb_24568,9e9b4176-3211-32f0-9c92-47cd8723fc54,us_market,,16.912,,74.276,,,12.72,,79136600.0,,,,42.883,2039456.0,0.025799999,,1609372800.0,0.87771004,458132992.0,5.763,,,16.42306,0.06768,1672444800.0,,1617148800.0,4.25,1620950400.0,72933059.0,1.688586,47621070848.0,2,,,,,,-0.868,19.7935,1623715200.0,1.91,,55.367138,,0.025999999,1957214.0,,,687.78,687.72,589.67444,,0.0,,705.84,,593385,687.78,639.4123,,687.72,593385,,,,,,,683.59,USD,471644,,,,55733534720.0,,,586445,683.59,705.16,800,471644,714.15,,,289.52,704.69,False,,800,705.84,704.27,https://logo.clearbit.com/aligntech.com,122.20545,Suite 1300,408 470 1010
8,02210,Healthcare,3837.0,"Alexion Pharmaceuticals, Inc. develops and commercializes various therapeutic products. The company offers ULTOMIRIS for the treatment of paroxysmal nocturnal hemoglobinuria (PNH) and atypical hemolytic uremic syndrome (aHUS); and SOLIRIS for the treatment of PNH, aHUS, generalized myasthenia gravis (gMG), and neuromyelitis optica spectrum disorder (NMOSD). It also provides Strensiq for patients with hypophosphatasia; Kanuma (sebelipase alfa) for the treatment of patients with lysosomal acid lipase deficiency; and Andexxa, a reversal agent for patients treated with rivaroxaban or apixaban. In addition, the company is developing ALXN1210 (Intravenous) that is in Phase III clinical trials for the treatment of gMG, NMOSD, ALS, COVID-19, and HSCT-TMA; ALXN1210 (Subcutaneous), which is in Phase III clinical trials for PNH and aHUS; ALXN1820 that is in Phase I clinical trial, a therapeutic antagonist of properdin; and ALXN1720, which is in Phase I clinical trial for the treatment of disease states involving dysregulated terminal complement activity. Further, it is developing ALXN1840 that is in Phase III clinical trials for the treatment of Wilson disease; ALXN1830, which are in Phase I clinical trials for neonatal Fc receptor; ALXN2040 and ALXN2050 to treat diseases associated with dysregulation of the complement alternative pathway; ALXN1850, an enzyme replacement therapy; ALXN2060 for treating transthyretin amyloidosis; and ALXN2075 for treatment of relapsed/refractory chronic lymphocytic leukemia. The company serves distributors, pharmacies, hospital, hospital buying groups, and other healthcare providers in the United States and internationally. Alexion Pharmaceuticals, Inc. has collaboration and license agreement with Halozyme Therapeutics, Inc.; and agreements with Dicerna Pharmaceuticals, Inc., Zealand Pharma A/S, Caelum Biosciences, Inc., Stealth BioTherapeutics Corp., and Affibody AB. The company was founded in 1992 and is headquartered in Boston, Massachusetts.",Boston,475 230 2596,MA,United States,[],http://www.alexion.com,1,121 Seaport Boulevard,Biotechnology,0.52116,0.10889,0.90942,3090899968.0,0.133,0.47411,3263300096.0,166.0,hold,5516400000.0,1990587520.0,175.0,182.5,0.144,4.524,0.100839995,14.0,177.36,23.177,0.04425,205.0,3469299968.0,2881200128.0,6261600256.0,15.697,USD,28.497,3.465,2.7,NMS,"Alexion Pharmaceuticals, Inc.","Alexion Pharmaceuticals, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,ALXN,,,finmb_347983,6f717d54-9576-39b0-9102-beae1b53259f,us_market,,6.256,,12.004,,,14.23,,221019008.0,,,,56.21,8457846.0,0.0383,,1609372800.0,0.88267,681800000.0,3.081,,,3.2467532,0.00339,1672444800.0,,1617148800.0,4.24,1619740800.0,220088739.0,1.280978,39171989504.0,2,,1306108800.0,2:1,,,0.141,6.441799,1622160000.0,1.46,,12.825018,,0.038399998,9547811.0,,,182.5,181.04,165.7747,,0.0,,182.67,,0,182.5,182.74828,,181.04,0,,,,,,,180.21,USD,3,,,,40335970304.0,,,4222993,180.21,0.0,1000,3,187.45,,,99.91,0.0,False,,900,182.67,182.5,https://logo.clearbit.com/alexion.com,59.234013,,203 271 8198
9,95052-3299,Technology,24800.0,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices, as well as equipment for processing flexible substrates. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was founded in 1967 and is headquartered in Santa Clara, California.",Santa Clara,408 727 5555,CA,United States,[],http://www.appliedmaterials.com,1,3050 Bowers Avenue,Semiconductor Equipment & Materials,0.30544,0.22353001,0.45968,4790000128.0,0.411,0.28618,6056000000.0,125.0,buy,7715000000.0,3012999936.0,160.0,129.22,0.744,3.105,0.15451999,27.0,161.21,47.553,0.42174998,195.0,6765000192.0,5703000064.0,19826999296.0,7.402,USD,21.645,2.142,2.0,NMS,"Applied Materials, Inc.","Applied Materials, Inc.",America/New_York,EDT,True,-14400000,,EQUITY,AMAT,,,finmb_251230,58114a02-d74c-3082-9d47-779374f1ba6b,us_market,,6.511,,21.316,,,7.37,,913980992.0,,,,13.122,11841446.0,0.012999999,,1603584000.0,0.82063,4432000000.0,4.802,,,9.847585,0.00369,1666656000.0,,1619913600.0,1.32,1620950400.0,910059779.0,1.450543,129088856064.0,2,,1019001600.0,2:1,,,0.762,5.956757,1623715200.0,0.84,,17.533243,,0.012999999,13334281.0,,,134.82,132.0,127.72732,0.0065272213,0.1833,,132.02,,5686642,134.82,137.37543,0.88,132.0,5686642,,,0.96,1629849600.0,,,127.7,USD,12326512,,,,118104621056.0,,,7832525,127.7,129.22,1400,12326512,146.0,,1.27,54.15,129.24,False,0.0067000003,900,132.02,129.22,https://logo.clearbit.com/appliedmaterials.com,26.90962,PO Box 58039,
