,symbol,sector,industry
0,A,Healthcare,Diagnostics & Research
1,AAL,Industrials,Airlines
2,AAP,Consumer Cyclical,Specialty Retail
3,AAPL,Technology,Consumer Electronics
4,ABBV,Healthcare,Drug Manufacturers—General
5,ABC,Healthcare,Medical Distribution
6,ABMD,Healthcare,Medical Devices
7,ABT,Healthcare,Medical Devices
8,ACN,Technology,Information Technology Services
9,ADBE,Technology,Software—Infrastructure
10,ADI,Technology,Semiconductors
11,ADM,Consumer Defensive,Farm Products
12,ADP,Industrials,Staffing & Employment Services
13,ADS,Financial Services,Credit Services
14,ADSK,Technology,Software—Application
15,AEE,Utilities,Utilities—Regulated Electric
16,AEP,Utilities,Utilities—Regulated Electric
17,AES,Utilities,Utilities—Diversified
18,AFL,Financial Services,Insurance—Life
19,AGRO,Consumer Defensive,Farm Products
20,AIG,Financial Services,Insurance—Diversified
21,AIV,Real Estate,REIT—Residential
22,AIZ,Financial Services,Insurance—Specialty
23,AJG,Financial Services,Insurance Brokers
24,AKAM,Technology,Software—Infrastructure
25,ALB,Basic Materials,Specialty Chemicals
26,ALGN,Healthcare,Medical Devices
27,ALK,Industrials,Airlines
28,ALL,Financial Services,Insurance—Property & Casualty
29,ALLE,Industrials,Security & Protection Services
30,ALXN,Healthcare,Biotechnology
31,AMAT,Technology,Semiconductor Equipment & Materials
32,AMD,Technology,Semiconductors
33,AME,Industrials,Specialty Industrial Machinery
34,AMG,Financial Services,Asset Management
35,AMGN,Healthcare,Drug Manufacturers—General
36,AMP,Financial Services,Asset Management
37,AMT,Real Estate,REIT—Specialty
38,AMZN,Consumer Cyclical,Internet Retail
39,ANET,Technology,Computer Hardware
40,ANSS,Technology,Software—Application
41,ANTM,Healthcare,Healthcare Plans
42,AON,Financial Services,Insurance Brokers
43,AOS,Industrials,Specialty Industrial Machinery
44,APA,Energy,Oil & Gas E&P
45,APD,Basic Materials,Chemicals
46,APH,Technology,Electronic Components
47,APTV,Consumer Cyclical,Auto Parts
48,ARE,Real Estate,REIT—Office
49,ATVI,Communication Services,Electronic Gaming & Multimedia
50,AVB,Real Estate,REIT—Residential
51,AVGO,Technology,Semiconductors
52,AVY,Industrials,Business Equipment & Supplies
53,AWK,Utilities,Utilities—Regulated Water
54,AXP,Financial Services,Credit Services
55,AZO,Consumer Cyclical,Specialty Retail
